"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO","DESCRICAO","","","","","","","","NR FABRIC.","","Nro.: ORIGINAL","","","SKU","","UN.COMP","CUSTO UL C.","","CUSTO MEDIO","","","TRIB.SAI","QTDE ESTQ.","EST.MIN.","","(EST-PEND","LINHA","","","UL.COMPRA","","SAIDA.","ENTR.","","SALDO","CONDIÇÃ","","SAIDA  ","ENTR.  ","SALDO  ","CONDIÇÃ","","PESO BRUTO",""
"38052","ABRACADEIRA 4"" CROMADA C/ SUPORTE RETO ALCA","","","","","","","","B072M","","","","","6983","","PC ","50.19 ","","50.53 ","","","S1   ","10.00 ","20.00 ","","-10","SALÃO OK","","","9999-1/2-/31","","0","46 ","","46","S/Analise","","0","30","30","S/Analise","","0.5",""
"3505","ABRACADEIRA 4"" CROMADA C/ SUPORTE RETO ALCA","","","","","","","","B072M","","","","","","","PC ","50.18 ","","48.18 ","","","S1   ","8.00 ","10.00 ","","-2","LOJA ERRO ESTOQUE","","","9999-1/2-/31","","0","221 ","","221","S/Analise","","0","3","3","S/Analise","","0",""
"1734","ABRACADEIRA 4"" CROMADA C/ SUPORTE TANQUE","","","","","","","","B076B","","","","","","","PC ","70.33 ","","70.33 ","","","S1   ","6.00 ","6.00 ","","0","RP BLOQUEADO","","","9999-1/2-/31","","0","4 ","","4","S/Analise","","0","0","0","C/Analise","","0",""
"42773","ABRACADEIRA 4"" CROMADA C/ SUPORTE TANQUE","","","","","","","","B076B","","","","","7481","","PC ","57.38 ","","57.51 ","","","S1   ","8.00 ","12.00 ","","-4","SALÃO OK","","","9999-1/2-/31","","0","4 ","","4","S/Analise","","0","25","25","S/Analise","","0.5",""
"30830","ABRACADEIRA 4"" INOX TUBO ESCAPAMENTO - VW CONSTELLATION C/ CANALETA","","","","","","","","W929K","","2T2253143J","","","7443","","PC ","43.05 ","","43.78 ","","","S1   ","7.00 ","7.00 ","","0","SALÃO OK","","","9999-1/2-/31","","0","4 ","","4","S/Analise","","0","12","12","S/Analise","","1",""
"3806","ABRACADEIRA 4"" INOX TUBO ESCAPAMENTO - VW CONSTELLATION C/ CANALETA","","","","","","","","W929K","","2T2253143J","","","","","PC ","43.04 ","","43.23 ","","","S1   ","4.00 ","6.00 ","","-2","LOJA RP OK","","","9999-1/2-/31","","0","61 ","","61","S/Analise","","0","0","0","C/Analise","","0",""
"29701","ABRACADEIRA 4"" INOX TUBO FLEXIVEL","","","","","","","","B073K","","20871332","","","","","PC ","45.20 ","","45.20 ","","","S1   ","6.00 ","6.00 ","","0","LOJA RP OK","","","9999-1/2-/31","","0","24 ","","24","S/Analise","","0","0","0","C/Analise","","0",""
"33794","ABRACADEIRA 4"" INOX TUBO FLEXIVEL ","","","","","","","","B073K","","20871332","","","7451","","PC ","40.87 ","","41.59 ","","","S1   ","2.00 ","4.00 ","","-2","SALÃO OK","","","9999-1/2-/31","","0","5 ","","5","S/Analise","","0","5","5","S/Analise","","1",""
"38800","ABRACADEIRA 4"" INOX TUBO FLEXIVEL INOX LARGA 50MM ","","","","","","","","B075E","","","","","7449","","PC ","31.30 ","","21.09 ","","","S1   ","2.00 ","4.00 ","","-2","SALÃO OK","","","9999-1/2-/31","","0","0 ","","0","C/analise","","0","2","2","S/Analise","","1",""
"29702","ABRACADEIRA 4"" INOX TUBO FLEXIVEL INOX LARGA 50MM ","","","","","","","","B075E","","","","","","","PC ","45.15 ","","37.68 ","","","S1   ","2.00 ","2.00 ","","0","LOJA RP OK","","","9999-1/2-/31","","0","6 ","","6","S/Analise","","0","0","0","C/Analise","","0",""
"3506","ABRACADEIRA 4"" PINTADA C/ SUPORTE RETO ALCA ","","","","","","","","B072N","","","","","","","PC ","15.04 ","","16.46 ","","","S1   ","0.00 ","4.00 ","","-4","SIMILAR C/ QUANTID","","","9999-1/2-/31","","0","13 ","","13","S/Analise","","0","0","0","C/Analise","","0",""
"38142","ABRACADEIRA 4"" PINTADA DUPLA FIXAÇÃO C/ SUPORTE COXIM APOIO","","","","","","","","B071Y","","","","","","","PC ","0.00 ","","0.00 ","","","S1   ","0.00 ","0.00 ","","0","LEVE","","","9999-1/2-/31","","0","0 ","","0","C/analise","","0","0","0","C/Analise","","0",""
"41126","ABRACADEIRA 4"" PINTADA DUPLA FIXAÇÃO S/ PARAFUSO","","","","","","","","B070D","","207550","","","7469","","PC ","0.00 ","","0.00 ","","","S1   ","0.00 ","1.00 ","","-1","SALÃO OK","","","9999-1/2-/31","","0","0 ","","0","C/analise","","0","0","0","C/Analise","","0.5",""
"3448","ABRACADEIRA 4"" PINTADA DUPLA FIXAÇÃO S/ PARAFUSO","","","","","","","","B070D","","207550","","","","","PC ","11.95 ","","11.58 ","","","S1   ","0.00 ","14.00 ","","-14","LOJA RP OK","","","9999-1/2-/31","","0","741 ","","741","S/Analise","","0","46","46","S/Analise","","0",""
"13277","ABRACADEIRA 4"" TUBO MOTOR PINTADO","","","","","","","","B069N","","","","","","","PC ","0.00 ","","0.00 ","","","S1   ","0.00 ","2.00 ","","-2","LOJA RP OK","","","9999-1/2-/31","","0","0 ","","0","C/analise","","0","0","0","C/Analise","","0",""
"47972","ABRACADEIRA 4"" TUBO MOTOR PINTADO ","","","","","","","","B069N","","","","","","","PC ","15.84 ","","15.84 ","","","S1   ","2.00 ","3.00 ","","-1","SALÃO OK","","","9999-1/2-/31","","0","2 ","","2","S/Analise","","0","0","0","C/Analise","","0",""
