"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO","DESCRICAO","","","","","","","","NR FABRIC.","","Nro.: ORIGINAL","","","SKU","","UN.COMP","CUSTO UL C.","","CUSTO MEDIO","","","TRIB.SAI","QTDE ESTQ.","EST.MIN.","","(EST-PEND","LINHA","","","UL.COMPRA","","SAIDA.","ENTR.","","SALDO","CONDIÇÃ","","SAIDA  ","ENTR.  ","SALDO  ","CONDIÇÃ","","PESO BRUTO",""
"66","CAPA CROMADA PARA PORCA 24 MM ALTA - BEPO","","","","","","","","M158T","","","","","","","PC ","00.00","","00.00","","","S1   ","00.07","00.06","","7","MINIMO AVALIAÇÃO","","","9999-1/2-/31","","0","00","","350","S/Analise","","0","0","0","C/Analise","","0",""
"67","CAPA CROMADA PARA PORCA 27 MM - BEPO","","","","","","","","M158U","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.04","","-35","LOJA RP OK","","","9999-1/2-/31","","0","00","","400","S/Analise","","0","50","50","S/Analise","","0",""
"68","CAPA CROMADA PARA PORCA 19 MM - BEPO","","","","","","","","M158V","","","","","","","PC ","00.00","","00.00","","","S1   ","00.02","00.02","","0","LOJA RP OK","","","9999-1/2-/31","","0","00","","100","S/Analise","","0","0","0","C/Analise","","0",""
"69","ESPACADOR BORRACHA (5801369030) IVECO","","","","","","","","I2402","","","","","","","PC ","00.00","","00.00","","","S2   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"70","ESPACADOR BORRACHA (5801368478) IVECO","","","","","","","","I2403","","","","","","","PC ","00.00","","00.00","","","S2   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"74","PERFIL ""U"" TQ.AGRALE 150L (6007006320005)","","","","","","","","I267","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"75","PERFIL INFERIOR 6007.006.319.00.7","","","","","","","","I513","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"76","PERFIL TIPO U TQ.(A9799870035) PLAST.","","","","","","","","I781","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"77","VEDACAO DE CABINE UNIVERSAL","","","","","","","","B059P","","","","","","","PC ","00.00","","00.00","","","S2   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"78","VEDACAO AUTO ADESIVA","","","","","","","","B061","","","","","","","PC ","00.00","","00.00","","","S2   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"80","PERFIL INFERIOR MICRORIO 100MM","","","","","","","","EM024","","88307","","","","","PC ","00.00","","00.00","","","S2   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"83","ESPACADOR (94736143) STO.ANT.S10 MCE","","","","","","","","I2042","","","","","","","PC ","00.00","","00.00","","","S2   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"84","GUARNIÇÃO BORRACHA TANQUE 150L","","","","","","","","I2256","","","","","","","PC ","00.00","","00.00","","","S2   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"86","GUARNIÇÃO BORRACHA TANQUE 275L","","","","","","","","I2260","","","","","","","PC ","00.00","","00.00","","","S2   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"93","PERFIL SUPERIOR TIPO ""U"" 50MM MB","","","","","","","","EM024A","","83232","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"94","VEDACAO DA BOMBA VDO F234","","","","","","","","B061U","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"96","VEDACAO DA BOMBA VDO F234","","","","","","","","I1619","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"100","SOROCABA VEDACAO (500053144) TAMPAO M-38","","","","","","","","I2334","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"101","SOROCABA VEDACAO (500053145) BUJAO BORR.NITRILICA","","","","","","","","I2335","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"103","PERFIL BORR.SUP.NAVISTAR","","","","","","","","I2367","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
"105","PERFIL BORR.SUP.TQ.150L NAVISTAR","","","","","","","","I2395","","","","","","","PC ","00.00","","00.00","","","S1   ","00.00","00.00","","0","LEVE","","","9999-1/2-/31","","0","00","","0","C/analise","","0","0","0","C/Analise","","0",""
